,name,team,age,min,pts,fgm,threepm,ftm,oreb,dreb,reb,ast,stl,blk,gp,wg,lg,winrate,year,dist_miles,dist_off,dist_def,avg_speed,avg_speed_off,avg_speed_def
1716,Patricio Garino,ORL,24,8.6,0.0,0.0,0.0,0.0,0.2,1.2,1.4,0.0,0.0,0.0,5,2,3,0.4,2016,0.65,0.38,0.27,4.46,4.85,4.3
1717,Patrick Beverley,HOU,28,30.7,9.5,3.4,1.6,1.1,1.4,4.4,5.9,4.2,1.5,0.4,67,46,21,0.6865671641791045,2016,2.27,1.16,1.11,4.45,4.75,4.18
1718,Patrick McCaw,GSW,21,15.1,4.0,1.5,0.6,0.4,0.3,1.1,1.4,1.1,0.5,0.2,71,57,14,0.8028169014084507,2016,1.09,0.57,0.52,4.32,4.6,4.06
1719,Patrick Patterson,TOR,28,24.6,6.8,2.4,1.4,0.7,1.0,3.6,4.5,1.2,0.6,0.4,65,42,23,0.6461538461538462,2016,1.66,0.89,0.77,4.06,4.36,3.76
1720,Patty Mills,SAS,28,21.9,9.5,3.4,1.8,0.8,0.3,1.5,1.8,3.5,0.8,0.0,80,60,20,0.75,2016,1.72,0.96,0.76,4.73,5.32,4.14
1721,Pau Gasol,SAS,36,25.4,12.4,4.7,0.9,2.0,1.7,6.2,7.8,2.3,0.4,1.1,64,47,17,0.734375,2016,1.72,0.95,0.78,4.09,4.37,3.78
1722,Paul George,IND,27,35.9,23.7,8.3,2.6,4.5,0.8,5.8,6.6,3.3,1.6,0.4,75,39,36,0.52,2016,2.5,1.32,1.18,4.17,4.47,3.89
1723,Paul Millsap,ATL,32,34.0,18.1,6.2,1.1,4.5,1.6,6.1,7.7,3.7,1.3,0.9,69,40,29,0.5797101449275363,2016,2.32,1.22,1.1,4.12,4.42,3.83
1724,Paul Pierce,LAC,39,11.1,3.2,1.1,0.6,0.4,0.0,1.9,1.9,0.4,0.2,0.2,25,16,9,0.64,2016,0.68,0.36,0.32,3.71,3.78,3.64
1725,Paul Zipser,CHI,23,19.2,5.5,2.0,0.8,0.7,0.3,2.5,2.8,0.8,0.3,0.4,44,21,23,0.4772727272727273,2016,1.41,0.77,0.64,4.42,4.78,4.06
1726,Pierre Jackson,DAL,25,9.4,3.9,1.4,0.3,0.7,0.1,0.9,1.0,2.1,0.2,0.0,9,4,5,0.4444444444444444,2016,0.7,0.37,0.32,4.59,4.88,4.29
1727,Quincy Acy,BKN,26,14.7,5.8,1.8,1.0,1.2,0.5,2.5,3.0,0.5,0.4,0.4,38,11,27,0.2894736842105263,2016,1.03,0.55,0.47,4.21,4.58,3.84
1728,Quinn Cook,NOP,24,13.4,5.6,2.4,0.8,0.1,0.1,0.4,0.5,1.9,0.3,0.0,14,9,5,0.6428571428571429,2016,1.01,0.53,0.47,4.53,4.79,4.26
1729,Rajon Rondo,CHI,31,26.7,7.8,3.3,0.7,0.4,1.1,4.1,5.1,6.7,1.4,0.2,69,34,35,0.4927536231884058,2016,1.85,0.99,0.86,4.17,4.39,3.95
1730,Rakeem Christmas,IND,25,7.6,2.0,0.7,0.0,0.7,0.9,1.0,1.9,0.1,0.1,0.2,29,14,15,0.4827586206896552,2016,0.51,0.26,0.24,4.03,4.11,3.94
1731,Ramon Sessions,CHA,31,16.2,6.2,2.0,0.4,1.8,0.2,1.2,1.5,2.6,0.5,0.1,50,23,27,0.46,2016,1.13,0.61,0.51,4.18,4.5,3.84
1732,Rashad Vaughn,MIL,20,11.2,3.5,1.4,0.6,0.0,0.1,1.1,1.2,0.6,0.5,0.2,41,18,23,0.4390243902439024,2016,0.81,0.43,0.39,4.38,4.51,4.24
1733,Reggie Bullock,DET,26,15.1,4.5,1.7,0.9,0.2,0.4,1.6,2.1,0.9,0.6,0.1,31,13,18,0.41935483870967744,2016,1.1,0.59,0.52,4.41,4.75,4.11
1734,Reggie Jackson,DET,27,27.4,14.5,5.5,1.3,2.3,0.4,1.8,2.2,5.2,0.7,0.1,52,23,29,0.4423076923076923,2016,1.92,1.03,0.89,4.21,4.57,3.85
1735,Reggie Williams,NOP,30,13.2,4.5,1.3,0.8,1.0,0.3,0.7,1.0,0.7,0.5,0.0,6,1,5,0.16666666666666666,2016,0.97,0.54,0.43,4.39,4.84,4.06
1736,Richard Jefferson,CLE,37,20.4,5.7,1.9,0.8,1.0,0.4,2.2,2.6,1.0,0.3,0.1,79,50,29,0.6329113924050633,2016,1.33,0.68,0.66,3.92,3.95,3.89
1737,Richaun Holmes,PHI,23,20.9,9.8,4.0,0.5,1.3,1.6,3.8,5.5,1.0,0.7,1.0,57,16,41,0.2807017543859649,2016,1.47,0.78,0.69,4.22,4.5,3.94
1738,Ricky Rubio,MIN,26,32.9,11.1,3.5,0.8,3.4,0.9,3.2,4.1,9.1,1.7,0.1,75,28,47,0.37333333333333335,2016,2.35,1.28,1.07,4.28,4.54,4.01
1739,Robert Covington,PHI,26,31.6,12.9,4.4,2.0,2.1,1.4,5.1,6.5,1.5,1.9,1.0,67,27,40,0.4029850746268657,2016,2.24,1.22,1.02,4.26,4.61,3.9
1740,Robert Covington,PHI,27,31.6,12.6,4.3,2.5,1.5,0.7,4.7,5.4,2.0,1.7,0.9,80,51,29,0.6375,2017,2.24,1.22,1.02,4.26,4.61,3.9
1741,Robin Lopez,CHI,29,28.0,10.4,4.7,0.0,0.9,3.0,3.4,6.4,1.0,0.2,1.4,81,40,41,0.4938271604938271,2016,1.9,1.03,0.87,4.08,4.3,3.84
1742,Rodney Hood,UTA,24,27.0,12.7,4.6,1.9,1.5,0.3,3.2,3.4,1.6,0.6,0.2,59,40,19,0.6779661016949152,2016,1.91,1.06,0.85,4.25,4.53,3.95
1743,Rodney McGruder,MIA,25,25.2,6.4,2.4,0.9,0.6,1.2,2.1,3.3,1.6,0.6,0.2,78,40,38,0.5128205128205128,2016,1.94,1.05,0.89,4.63,4.87,4.38
1744,Rodney Stuckey,IND,31,17.9,7.2,2.3,0.5,2.1,0.2,2.0,2.2,2.2,0.4,0.0,39,17,22,0.4358974358974359,2016,1.19,0.65,0.54,4.0,4.28,3.71
1745,Ron Baker,NYK,24,16.5,4.1,1.6,0.4,0.5,0.2,1.7,1.9,2.1,0.7,0.2,52,14,38,0.2692307692307692,2016,1.24,0.67,0.57,4.52,4.91,4.15
1746,Rondae Hollis-Jefferson,BKN,22,22.6,8.7,3.0,0.2,2.4,1.2,4.6,5.8,2.0,1.1,0.6,78,19,59,0.2435897435897436,2016,1.71,0.91,0.8,4.55,4.97,4.15
1747,Ronnie Price,PHX,34,9.6,1.0,0.3,0.2,0.2,0.2,0.6,0.8,1.3,0.8,0.1,14,4,10,0.2857142857142857,2016,0.71,0.38,0.34,4.48,4.81,4.17
1748,Roy Hibbert,DEN,30,14.2,4.6,1.7,0.0,1.3,1.1,2.0,3.2,0.4,0.2,1.0,48,24,24,0.5,2016,0.97,0.52,0.45,4.13,4.33,3.91
1749,Rudy Gay,SAC,30,33.8,18.7,6.7,1.4,3.9,1.2,5.2,6.3,2.8,1.5,0.9,30,11,19,0.36666666666666653,2016,2.36,1.28,1.08,4.21,4.42,3.99
1750,Rudy Gobert,UTA,25,33.9,14.0,5.1,0.0,3.8,3.9,8.9,12.8,1.2,0.6,2.6,81,51,30,0.6296296296296297,2016,2.39,1.32,1.07,4.25,4.53,3.96
1751,Russell Westbrook,OKC,28,34.6,31.6,10.2,2.5,8.8,1.7,9.0,10.7,10.4,1.6,0.4,81,46,35,0.5679012345679012,2016,2.37,1.28,1.09,4.13,4.72,3.61
1752,Ryan Anderson,HOU,29,29.4,13.6,4.5,2.8,1.8,1.6,3.0,4.6,0.9,0.4,0.2,72,50,22,0.6944444444444444,2016,1.95,1.04,0.92,4.01,4.38,3.66
1753,Ryan Kelly,ATL,26,6.9,1.6,0.5,0.3,0.3,0.1,1.1,1.1,0.5,0.3,0.3,16,6,10,0.375,2016,0.46,0.24,0.22,4.03,4.49,3.62
1754,Sam Dekker,HOU,23,18.4,6.5,2.6,0.8,0.5,1.2,2.5,3.7,1.0,0.5,0.3,77,52,25,0.6753246753246753,2016,1.41,0.74,0.67,4.6,5.09,4.15
1755,Sasha Vujacic,NYK,33,9.7,3.0,1.0,0.5,0.4,0.3,1.1,1.4,1.2,0.3,0.0,42,14,28,0.3333333333333333,2016,0.71,0.38,0.33,4.39,4.72,4.09
1756,Sean Kilpatrick,BKN,27,25.1,13.1,4.4,1.5,2.9,0.3,3.7,4.0,2.2,0.6,0.1,70,14,56,0.2,2016,1.79,0.95,0.84,4.29,4.69,3.91
1757,Semaj Christon,OKC,24,15.2,2.9,1.2,0.2,0.3,0.3,1.1,1.4,2.0,0.4,0.1,64,36,28,0.5625,2016,1.07,0.57,0.5,4.24,4.56,3.92
1758,Serge Ibaka,TOR,27,30.7,14.8,6.0,1.6,1.4,1.6,5.2,6.8,0.9,0.5,1.6,79,37,42,0.4683544303797468,2016,2.07,1.1,0.97,4.07,4.35,3.79
1759,Sergio Rodriguez,PHI,31,22.3,7.8,3.1,1.4,0.3,0.3,2.0,2.3,5.1,0.7,0.1,68,24,44,0.35294117647058826,2016,1.79,1.05,0.75,4.83,5.59,4.06
1760,Shabazz Muhammad,MIN,24,19.4,9.9,3.7,0.6,1.9,1.1,1.7,2.8,0.4,0.3,0.1,78,29,49,0.3717948717948718,2016,1.4,0.72,0.68,4.33,4.38,4.28
1761,Shabazz Napier,POR,25,9.7,4.1,1.4,0.6,0.7,0.2,1.0,1.2,1.3,0.6,0.0,53,26,27,0.490566037735849,2016,0.67,0.37,0.29,4.16,4.55,3.72
1762,Shaun Livingston,GSW,31,17.7,5.1,2.3,0.0,0.6,0.4,1.6,2.0,1.8,0.5,0.3,76,63,13,0.8289473684210527,2016,1.27,0.68,0.59,4.33,4.82,3.87
1763,Shawn Long,PHI,24,13.0,8.2,3.4,0.4,1.1,2.3,2.4,4.7,0.7,0.5,0.5,18,5,13,0.2777777777777778,2016,0.9,0.48,0.43,4.2,4.48,3.92
1764,Sheldon Mac,WAS,24,9.6,3.0,1.0,0.2,0.8,0.1,1.0,1.1,0.5,0.3,0.1,30,17,13,0.5666666666666667,2016,0.71,0.38,0.33,4.47,4.83,4.12
1765,Shelvin Mack,UTA,27,21.9,7.8,3.1,0.7,1.0,0.4,1.9,2.3,2.8,0.8,0.1,55,34,21,0.6181818181818182,2016,1.63,0.9,0.73,4.47,4.75,4.18
1766,Skal Labissiere,SAC,21,18.5,8.8,3.5,0.1,1.6,1.5,3.4,4.9,0.8,0.5,0.4,33,9,24,0.2727272727272727,2016,1.32,0.7,0.62,4.28,4.54,4.02
1767,Solomon Hill,NOP,26,29.7,7.0,2.3,1.2,1.3,0.6,3.2,3.8,1.8,0.9,0.4,80,34,46,0.425,2016,2.06,1.05,1.01,4.18,4.46,3.91
1768,Spencer Dinwiddie,BKN,24,22.6,7.3,2.3,0.6,2.1,0.5,2.3,2.8,3.1,0.7,0.4,59,13,46,0.22033898305084745,2016,1.59,0.85,0.74,4.21,4.56,3.88
1769,Spencer Hawes,MIL,29,14.8,6.2,2.5,0.5,0.8,0.7,2.8,3.5,1.5,0.3,0.6,54,27,27,0.5,2016,1.02,0.56,0.46,4.14,4.43,3.85
1770,Stanley Johnson,DET,21,17.8,4.4,1.7,0.6,0.5,0.5,2.0,2.5,1.4,0.7,0.3,77,35,42,0.4545454545454545,2016,1.3,0.69,0.61,4.39,4.64,4.14
1771,Stephen Curry,GSW,29,33.4,25.3,8.5,4.1,4.1,0.8,3.7,4.5,6.6,1.8,0.2,79,65,14,0.8227848101265823,2016,2.48,1.32,1.16,4.46,5.13,3.88
1772,Stephen Zimmerman,ORL,20,5.7,1.2,0.5,0.0,0.2,0.6,1.3,1.8,0.2,0.1,0.3,19,8,11,0.42105263157894735,2016,0.41,0.22,0.2,4.41,4.61,4.21
1773,Steve Novak,MIL,34,2.7,0.6,0.3,0.1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,8,6,2,0.75,2016,0.19,0.11,0.08,4.1,4.33,3.86
1774,Steven Adams,OKC,23,29.9,11.3,4.7,0.0,2.0,3.5,4.2,7.7,1.1,1.1,1.0,80,47,33,0.5875,2016,2.03,1.03,1.0,4.08,4.33,3.86
1775,T.J. McConnell,PHI,25,26.3,6.9,2.9,0.1,0.9,0.5,2.6,3.1,6.6,1.7,0.1,81,27,54,0.3333333333333333,2016,2.08,1.18,0.9,4.75,5.35,4.14
1776,Taj Gibson,OKC,32,25.5,10.8,4.7,0.0,1.4,2.0,4.2,6.2,0.9,0.5,0.8,78,41,37,0.5256410256410257,2016,1.76,0.95,0.81,4.16,4.42,3.88
1777,Tarik Black,LAL,25,16.3,5.7,2.2,0.0,1.2,2.1,3.0,5.1,0.6,0.4,0.7,67,24,43,0.3582089552238806,2016,1.18,0.63,0.55,4.37,4.77,3.99
1778,Taurean Prince,ATL,23,16.6,5.7,1.9,0.6,1.3,0.4,2.2,2.7,0.9,0.7,0.5,59,28,31,0.4745762711864407,2016,1.15,0.6,0.55,4.16,4.46,3.87
1779,Terrence Jones,MIL,25,23.5,10.8,4.3,0.4,1.9,1.2,4.5,5.7,1.1,0.7,1.0,54,20,34,0.3703703703703704,2016,1.59,0.84,0.76,4.07,4.36,3.79
1780,Terrence Ross,ORL,26,25.1,11.0,4.2,1.8,0.8,0.2,2.4,2.6,1.1,1.1,0.4,78,39,39,0.5,2016,1.81,0.96,0.85,4.33,4.72,3.97
1781,Terry Rozier,BOS,23,17.1,5.5,2.0,0.8,0.7,0.5,2.5,3.1,1.8,0.6,0.1,74,47,27,0.6351351351351351,2016,1.28,0.7,0.59,4.51,4.87,4.15
1782,Thabo Sefolosha,ATL,33,25.7,7.2,2.8,0.7,0.9,0.9,3.5,4.4,1.7,1.5,0.5,62,32,30,0.5161290322580645,2016,1.86,0.99,0.87,4.35,4.68,4.04
1783,Thomas Robinson,LAL,26,11.7,5.0,2.2,0.0,0.6,1.8,2.9,4.6,0.6,0.5,0.2,48,15,33,0.3125,2016,0.85,0.45,0.4,4.37,4.71,4.04
1784,Thon Maker,MIL,20,9.9,4.0,1.5,0.5,0.6,0.7,1.3,2.0,0.4,0.2,0.5,57,31,26,0.543859649122807,2016,0.77,0.39,0.37,4.67,4.9,4.46
1785,Tiago Splitter,PHI,32,9.5,4.9,1.8,0.3,1.1,1.0,1.8,2.8,0.5,0.1,0.1,8,1,7,0.125,2016,0.66,0.36,0.3,4.25,4.57,4.08
1786,Tim Frazier,NOP,26,23.5,7.1,2.5,0.6,1.5,0.5,2.1,2.7,5.2,0.9,0.1,65,26,39,0.4,2016,1.69,0.9,0.79,4.33,4.73,3.95
1787,Tim Hardaway Jr.,ATL,25,27.3,14.5,5.3,1.9,2.1,0.4,2.4,2.8,2.3,0.7,0.2,79,42,37,0.5316455696202531,2016,1.9,0.98,0.91,4.19,4.49,3.91
1788,Tim Quarterman,POR,22,5.0,1.9,0.8,0.3,0.0,0.3,0.6,0.9,0.7,0.1,0.2,16,6,10,0.375,2016,0.37,0.2,0.17,4.5,4.76,4.23
1789,Timofey Mozgov,LAL,30,20.4,7.4,3.1,0.0,1.2,1.9,3.0,4.9,0.8,0.3,0.6,54,16,38,0.2962962962962963,2016,1.51,0.82,0.69,4.44,4.72,4.14
1790,Tobias Harris,DET,24,31.3,16.1,6.2,1.3,2.3,0.8,4.3,5.1,1.7,0.7,0.5,82,37,45,0.451219512195122,2016,2.23,1.21,1.01,4.29,4.7,3.88
1791,Tomas Satoransky,WAS,25,12.6,2.7,1.1,0.2,0.4,0.4,1.0,1.5,1.6,0.5,0.1,57,33,24,0.5789473684210527,2016,0.95,0.49,0.45,4.51,4.76,4.27
1792,Toney Douglas,MEM,31,16.4,4.9,1.8,0.3,1.0,0.5,2.0,2.5,2.3,0.8,0.2,24,15,9,0.625,2016,1.24,0.68,0.55,4.53,4.71,4.33
1793,Tony Snell,MIL,25,29.2,8.5,3.1,1.8,0.6,0.3,2.8,3.1,1.2,0.7,0.2,80,42,38,0.525,2016,1.95,0.96,0.99,4.02,4.02,4.02
1795,Treveon Graham,CHA,23,7.0,2.1,0.7,0.3,0.4,0.2,0.6,0.8,0.2,0.2,0.0,27,10,17,0.3703703703703704,2016,0.52,0.29,0.23,4.45,4.67,4.2
1797,Trevor Ariza,HOU,32,34.7,11.7,4.1,2.4,1.2,0.7,5.1,5.7,2.2,1.8,0.3,80,53,27,0.6625,2016,2.33,1.17,1.16,4.05,4.21,3.9
1799,Trey Burke,WAS,24,12.3,5.0,2.0,0.5,0.4,0.1,0.7,0.8,1.8,0.2,0.1,57,35,22,0.6140350877192983,2016,0.9,0.48,0.42,4.42,4.64,4.19
1801,Trey Lyles,UTA,21,16.3,6.2,2.2,0.9,0.8,0.7,2.6,3.3,1.0,0.4,0.3,71,43,28,0.6056338028169014,2016,1.14,0.62,0.52,4.21,4.43,3.97
1803,Troy Daniels,MEM,25,17.7,8.2,2.8,2.1,0.6,0.3,1.2,1.5,0.7,0.3,0.1,67,33,34,0.4925373134328358,2016,1.26,0.71,0.56,4.3,4.6,3.97
1805,Troy Williams,HOU,22,18.6,6.2,2.4,0.6,0.7,0.5,1.8,2.3,0.8,0.9,0.3,30,19,11,0.6333333333333333,2016,1.35,0.73,0.62,4.37,4.68,4.07
1807,Ty Lawson,SAC,29,25.1,9.9,3.4,0.5,2.5,0.6,2.0,2.6,4.8,1.1,0.1,69,25,44,0.3623188405797101,2016,1.72,0.91,0.81,4.13,4.35,3.91
1809,Tyler Ennis,LAL,22,11.1,4.3,1.7,0.5,0.4,0.2,0.7,0.8,1.6,0.5,0.0,53,28,25,0.5283018867924528,2016,0.84,0.45,0.39,4.55,5.05,4.08
1811,Tyler Johnson,MIA,25,29.8,13.7,4.9,1.3,2.7,0.7,3.3,4.0,3.2,1.2,0.6,73,35,38,0.4794520547945205,2016,2.17,1.18,0.99,4.37,4.62,4.09
1813,Tyler Zeller,BOS,27,10.3,3.5,1.5,0.0,0.4,0.8,1.6,2.4,0.8,0.1,0.4,51,32,19,0.6274509803921569,2016,0.73,0.38,0.35,4.27,4.53,4.01
1815,Tyreke Evans,SAC,27,19.7,10.3,3.8,1.1,1.7,0.3,3.1,3.4,3.1,0.9,0.2,40,17,23,0.425,2016,1.29,0.71,0.58,3.95,4.38,3.52
1817,Tyus Jones,MIN,21,12.9,3.5,1.3,0.4,0.6,0.2,1.0,1.1,2.6,0.8,0.1,60,23,37,0.38333333333333336,2016,0.93,0.5,0.43,4.35,4.62,4.09
1819,Udonis Haslem,MIA,37,8.1,1.9,0.7,0.0,0.6,0.5,1.8,2.3,0.4,0.4,0.1,16,6,10,0.375,2016,0.52,0.28,0.23,3.83,3.88,3.67
1821,Victor Oladipo,OKC,25,33.2,15.9,6.1,1.9,1.7,0.6,3.8,4.3,2.6,1.2,0.3,67,39,28,0.582089552238806,2016,2.35,1.19,1.15,4.25,4.53,4.0
1823,Wade Baldwin IV,MEM,21,12.3,3.2,1.1,0.1,0.9,0.3,1.1,1.4,1.8,0.5,0.2,33,18,15,0.5454545454545454,2016,0.94,0.53,0.41,4.6,4.96,4.24
1825,Wayne Ellington,MIA,29,24.2,10.5,3.7,2.4,0.6,0.3,1.8,2.1,1.1,0.6,0.1,62,35,27,0.5645161290322581,2016,1.73,0.96,0.77,4.32,4.64,3.97
1827,Wayne Selden,MEM,22,16.9,5.1,1.8,0.5,1.0,0.1,1.1,1.1,0.9,0.4,0.1,14,6,8,0.42857142857142855,2016,1.19,0.66,0.53,4.25,4.6,3.88
1829,Wesley Johnson,LAC,29,11.9,2.7,1.1,0.4,0.2,0.4,2.3,2.7,0.3,0.4,0.4,68,40,28,0.5882352941176471,2016,0.83,0.44,0.39,4.18,4.4,3.97
1831,Willie Cauley-Stein,SAC,23,18.9,8.1,3.4,0.0,1.3,1.1,3.4,4.5,1.1,0.7,0.6,75,29,46,0.38666666666666666,2016,1.34,0.71,0.63,4.27,4.47,4.06
1833,Willie Reed,MIA,27,14.5,5.3,2.3,0.0,0.7,1.8,2.9,4.7,0.4,0.3,0.7,71,39,32,0.5492957746478874,2016,0.99,0.51,0.48,4.11,4.18,4.03
1835,Willy Hernangomez,NYK,23,18.4,8.2,3.4,0.1,1.3,2.4,4.6,7.0,1.3,0.6,0.5,72,27,45,0.375,2016,1.35,0.72,0.62,4.4,4.69,4.11
1837,Wilson Chandler,DEN,30,30.9,15.7,6.1,1.5,2.0,1.5,5.0,6.5,2.0,0.7,0.4,71,35,36,0.4929577464788733,2016,2.07,1.11,0.95,4.02,4.31,3.72
1839,Yogi Ferrell,DAL,24,26.0,10.0,3.5,1.5,1.6,0.4,2.0,2.4,3.7,0.9,0.2,46,18,28,0.39130434782608703,2016,1.9,1.04,0.87,4.4,4.69,4.1
1841,Zach LaVine,MIN,22,37.2,18.9,6.9,2.6,2.5,0.4,3.0,3.4,3.0,0.9,0.2,47,16,31,0.3404255319148936,2016,2.71,1.46,1.26,4.39,4.66,4.11
1843,Zach Randolph,MEM,35,24.5,14.1,5.9,0.3,1.9,2.5,5.7,8.2,1.7,0.5,0.1,73,38,35,0.5205479452054794,2016,1.6,0.86,0.74,3.94,3.99,3.88
1845,Zaza Pachulia,GSW,33,18.1,6.1,2.3,0.0,1.4,2.0,3.9,5.9,1.9,0.8,0.5,70,58,12,0.8285714285714286,2016,1.26,0.63,0.64,4.2,4.55,3.91
1847,Aaron Brooks,MIN,33,5.9,2.3,0.9,0.3,0.3,0.2,0.3,0.5,0.6,0.2,0.0,32,19,13,0.59375,2017,0.42,0.23,0.2,4.32,4.46,4.17
1848,Aaron Gordon,ORL,22,32.9,17.6,6.5,2.0,2.7,1.5,6.4,7.9,2.3,1.0,0.8,58,19,39,0.3275862068965517,2017,2.42,1.35,1.07,4.46,5.05,3.88
1849,Aaron Harrison,DAL,23,25.9,6.7,2.1,1.0,1.4,0.4,2.2,2.7,1.2,1.0,0.2,9,2,7,0.2222222222222222,2017,1.84,1.0,0.84,4.29,4.52,4.04
1850,Aaron Jackson,HOU,32,34.5,8.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1,0,1,0.0,2017,2.37,1.22,1.15,3.94,4.14,3.77
1851,Adreian Payne,ORL,27,8.5,4.2,1.4,0.4,1.0,0.4,1.4,1.8,0.0,0.4,0.0,5,0,5,0.0,2017,0.59,0.3,0.29,4.24,4.53,3.72
1852,Al Jefferson,IND,33,13.4,7.0,3.1,0.0,0.8,0.8,3.1,4.0,0.8,0.4,0.6,36,17,19,0.4722222222222222,2017,0.9,0.48,0.41,4.02,4.12,3.89
1853,Al-Farouq Aminu,POR,27,30.0,9.3,3.3,1.8,0.9,1.4,6.2,7.6,1.2,1.1,0.6,69,40,29,0.5797101449275363,2017,2.12,1.14,0.98,4.22,4.46,3.98
1854,Alan Williams,PHX,25,14.1,4.0,1.4,0.0,1.2,0.6,3.8,4.4,1.6,1.0,0.2,5,1,4,0.2,2017,0.96,0.52,0.44,4.1,4.3,3.9
1855,Alec Burks,UTA,26,16.5,7.7,2.7,0.7,1.7,0.3,2.7,3.0,1.0,0.6,0.1,64,37,27,0.578125,2017,1.17,0.62,0.55,4.27,4.43,4.11
1856,Alec Peters,PHX,23,11.2,4.1,1.4,0.9,0.4,0.4,1.5,1.9,0.6,0.1,0.1,20,2,18,0.1,2017,0.84,0.47,0.37,4.5,5.15,3.88
1857,Alex Abrines,OKC,24,15.1,4.7,1.5,1.1,0.5,0.3,1.2,1.5,0.4,0.5,0.1,75,42,33,0.56,2017,1.1,0.55,0.54,4.35,4.48,4.24
1858,Alex Caruso,LAL,24,15.2,3.6,1.4,0.4,0.6,0.4,1.4,1.8,2.0,0.6,0.3,37,16,21,0.4324324324324325,2017,1.14,0.59,0.55,4.51,4.95,4.11
1859,Alex Len,PHX,25,20.2,8.5,3.1,0.0,2.3,2.5,5.0,7.5,1.2,0.4,0.9,69,20,49,0.2898550724637681,2017,1.41,0.76,0.65,4.2,4.52,3.88
1860,Alex Poythress,IND,24,4.2,1.0,0.4,0.2,0.0,0.3,0.4,0.7,0.1,0.1,0.0,25,10,15,0.4,2017,0.31,0.16,0.14,4.45,4.61,4.28
1861,Alfonzo McKinnie,TOR,25,3.8,1.5,0.6,0.2,0.1,0.1,0.4,0.5,0.1,0.1,0.1,14,13,1,0.9285714285714286,2017,0.3,0.15,0.15,4.73,4.87,4.6
1862,Amir Johnson,PHI,31,15.8,4.6,1.9,0.1,0.7,1.7,2.8,4.5,1.6,0.6,0.6,74,47,27,0.6351351351351351,2017,1.1,0.56,0.54,4.19,4.42,3.98
1863,Andre Iguodala,GSW,34,25.4,6.0,2.3,0.5,0.9,0.8,3.1,3.8,3.3,0.8,0.6,64,46,18,0.71875,2017,1.8,0.94,0.86,4.27,4.64,3.92
1864,Andre Ingram,LAL,32,32.1,12.0,4.0,2.5,1.5,0.5,2.5,3.0,3.5,1.5,1.5,2,1,1,0.5,2017,2.37,1.27,1.1,4.4,5.0,3.87
1865,Andre Roberson,OKC,26,26.6,5.0,2.2,0.2,0.3,1.9,2.8,4.7,1.2,1.2,0.9,39,24,15,0.6153846153846154,2017,2.01,0.97,1.04,4.56,4.61,4.51
1866,Andrew Bogut,LAL,33,9.0,1.5,0.7,0.0,0.1,1.1,2.2,3.3,0.6,0.2,0.5,24,7,17,0.2916666666666667,2017,0.59,0.31,0.28,3.95,4.13,3.76
1867,Andrew Harrison,MEM,23,23.7,9.5,3.2,0.8,2.2,0.4,1.9,2.3,3.2,0.7,0.5,56,17,39,0.3035714285714285,2017,1.66,0.91,0.76,4.24,4.45,4.01
1868,Andrew White III,ATL,25,13.9,4.6,1.7,1.2,0.1,0.3,2.0,2.3,0.4,0.2,0.1,15,1,14,0.06666666666666668,2017,1.03,0.56,0.47,4.57,4.88,4.25
1869,Andrew Wiggins,MIN,23,36.3,17.7,6.9,1.4,2.5,1.0,3.4,4.4,2.0,1.1,0.6,82,47,35,0.573170731707317,2017,2.49,1.32,1.17,4.13,4.37,3.89
1870,Andrew Wiggins,MIN,23,36.3,17.7,6.9,1.4,2.5,1.0,3.4,4.4,2.0,1.1,0.6,82,47,35,0.573170731707317,2017,2.43,1.28,1.14,4.01,4.09,3.92
1871,Ante Zizic,CLE,21,6.7,3.7,1.5,0.0,0.7,0.8,1.1,1.9,0.2,0.1,0.4,32,21,11,0.65625,2017,0.48,0.26,0.22,4.31,4.43,4.18
1872,Anthony Brown,MIN,25,3.7,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0.0,2017,0.25,0.11,0.14,4.8,4.57,2.47
1873,Anthony Davis,NOP,25,36.4,28.1,10.4,0.7,6.6,2.5,8.6,11.1,2.3,1.5,2.6,75,45,30,0.6,2017,2.39,1.24,1.15,3.96,4.31,3.64
1874,Anthony Tolliver,DET,33,22.2,8.9,2.8,2.0,1.3,0.6,2.4,3.1,1.1,0.4,0.3,79,37,42,0.4683544303797468,2017,1.68,0.95,0.73,4.55,5.18,3.92
1875,Antonio Blakeney,CHI,21,16.5,7.9,2.8,0.8,1.6,0.2,1.5,1.7,1.1,0.4,0.1,19,3,16,0.15789473684210525,2017,1.22,0.62,0.6,4.49,4.95,4.09
1876,Antonius Cleveland,ATL,24,7.2,1.4,0.5,0.2,0.2,0.2,0.6,0.8,0.1,0.4,0.3,17,7,10,0.4117647058823529,2017,0.53,0.28,0.25,4.41,4.5,4.22
1877,Arron Afflalo,ORL,32,12.9,3.4,1.2,0.5,0.4,0.1,1.2,1.2,0.6,0.1,0.2,53,16,37,0.3018867924528302,2017,0.9,0.47,0.42,4.2,4.37,4.03
1878,Austin Rivers,LAC,25,33.7,15.1,5.6,2.2,1.7,0.4,1.9,2.4,4.0,1.2,0.3,61,30,31,0.4918032786885246,2017,2.4,1.31,1.09,4.28,4.6,3.95
