,name,team,age,min,pts,fgm,threepm,ftm,oreb,dreb,reb,ast,stl,blk,gp,wg,lg,winrate,year,dist_miles,dist_off,dist_def,avg_speed,avg_speed_off,avg_speed_def
942,Wilson Chandler,DEN,31,31.7,10.0,3.8,1.2,1.2,1.4,4.0,5.4,2.1,0.6,0.5,74,41,33,0.5540540540540541,2017,2.19,1.16,1.03,4.16,4.49,3.85
944,Wilson Chandler,DEN,31,31.7,10.0,3.8,1.2,1.2,1.4,4.0,5.4,2.1,0.6,0.5,74,41,33,0.5540540540540541,2017,2.12,1.11,1.01,4.04,4.18,3.89
945,Xavier Henry,LAL,24,9.5,2.2,0.3,0.0,1.6,0.2,0.2,0.4,0.3,0.3,0.0,9,1,8,0.1111111111111111,2014,0.68,0.36,0.32,4.28,4.65,3.93
947,Zoran Dragic,MIA,26,4.7,1.8,0.7,0.2,0.2,0.3,0.2,0.5,0.3,0.1,0.0,16,6,10,0.375,2014,0.34,0.18,0.16,4.3,4.95,3.73
949,Aaron Brooks,CHI,31,16.1,7.1,2.7,1.0,0.7,0.3,1.2,1.5,2.6,0.4,0.1,69,36,33,0.5217391304347826,2015,1.09,0.58,0.51,4.1,4.39,3.83
950,Aaron Harrison,CHA,21,4.4,0.9,0.2,0.1,0.2,0.2,0.5,0.7,0.1,0.3,0.0,21,15,6,0.7142857142857143,2015,0.32,0.17,0.16,4.37,4.45,4.28
951,Adreian Payne,MIN,25,9.3,2.5,1.0,0.2,0.3,0.4,1.8,2.1,0.6,0.3,0.2,52,18,34,0.3461538461538461,2015,0.67,0.36,0.31,4.31,4.6,4.01
952,Al Horford,ATL,30,32.1,15.2,6.5,1.1,1.3,1.8,5.5,7.3,3.2,0.8,1.5,82,48,34,0.5853658536585366,2015,2.17,1.13,1.04,4.06,4.42,3.73
953,Al Jefferson,CHA,31,23.3,12.0,5.2,0.0,1.5,1.2,5.2,6.4,1.5,0.6,0.9,47,33,14,0.7021276595744681,2015,1.54,0.82,0.72,3.97,4.14,3.79
954,Alan Anderson,WAS,33,14.8,5.0,1.6,0.9,0.8,0.1,2.0,2.1,1.1,0.3,0.1,13,8,5,0.6153846153846154,2015,1.01,0.51,0.51,4.13,4.38,3.9
955,Alan Williams,PHX,23,6.8,2.9,1.0,0.0,0.9,1.4,2.4,3.8,0.5,0.4,0.5,10,3,7,0.3,2015,0.48,0.26,0.22,4.23,4.53,3.93
956,Alec Burks,UTA,24,25.7,13.3,4.4,1.0,3.4,0.5,3.0,3.5,2.0,0.6,0.1,31,13,18,0.41935483870967744,2015,1.81,0.98,0.83,4.23,4.44,4.02
957,Alex Len,PHX,23,23.3,9.0,3.4,0.0,2.2,2.3,5.3,7.6,1.2,0.5,0.8,78,23,55,0.2948717948717949,2015,1.59,0.85,0.74,4.08,4.33,3.82
958,Alex Stepheson,MEM,28,9.0,2.8,1.1,0.0,0.5,2.4,1.1,3.5,0.3,0.1,0.6,8,2,6,0.25,2015,0.63,0.35,0.28,4.17,4.1,4.25
959,Alexis Ajinca,NOP,28,14.6,6.0,2.5,0.0,0.9,1.3,3.3,4.6,0.5,0.3,0.6,59,20,39,0.3389830508474576,2015,0.99,0.52,0.47,4.08,4.42,3.76
